Cost Code,Description,Supplier/Subcontractor,Src,Tran Type,Internal Ref,External Ref,PO Number,Quantity,Unit
M231,Blade 190mm x 30mm Makita,Etag UK,PL,PINV,22030283,224391,PO003351,2,EA
M231,Tek Screw 5.5x38 c/w Washer Heavy Section,Etag UK,PL,PINV,22030331,224400,PO003353,1,BOX
M231,Hoover bags for Makita VC3511L (Partcentre on,Online Order,PL,PINV,22030627,132950,PO003359,10,PK
M231,Dulux Mouldshield Fungicidal Eggshell Colour,Online Order,PL,PINV,22030625,357760,PO003361,2,EA
M231,Dulux Vinyl Matt (Tinted) 7042 5L,Online Order,PL,PINV,22030625,357760,PO003361,10,EA
M231,Ceiling Anchor 6X65 (DBZ),Etag UK,PL,PINV,22030357,224664,PO003371,20,BOX
M231,Brush Platform c/w Handle,Etag UK,PL,PINV,22030357,224664,PO003371,3,EA
M231,Wood Finishes Direct Dulux Mouldshield Fungic,Online Order,PL,PINV,22030410,1646646,PO003362,3,EA
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,VJ Technology Limited,PL,PINV,22030372,INV3155406,PO003259,24,BOX
M231,Ejot Insulation Screw DDS 7.3 X 75 white 100,Etag UK,PL,PINV,22030399,224858,PO003121,66,BOX
M231,Multitool blades 64mm,Etag UK,PL,PINV,22030401,224862,PO003382,30,EA
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22030428,225117,PO003024,4,BOX
M231,Ejot Insulation Screw DDS 7.3 x 150 White 100,VJ Technology Limited,PL,PINV,22030473,INV3156906,PO003373,10,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22030446,225269,PO003438,10,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22030446,225269,PO003438,15,BOX
M231,Dulux Vinyl Matt (Tinted) 7042 5L,Online Order,PL,PINV,22030490,CLD/00293868,PO003426,5,EA
M231,Dulux Mouldshield Fungicidal Eggshell Colour,Online Order,PL,PINV,22030490,CLD/00293868,PO003426,3,EA
M231,Dulux Mouldshield Fungicidal Eggshell Colour,Online Order,PL,PINV,22030490,CLD/00293868,PO003426,2,EA
M231,Black Chalk Dust,Etag UK,PL,PINV,22040027,225624,PO003472,2,EA
M231,Drill Bit SDS Plus 8 x 210,Etag UK,PL,PINV,22040027,225624,PO003472,30,EA
M231,Drill Bit SDS Plus 6x110,Etag UK,PL,PINV,22040027,225624,PO003472,50,EA
M231,Black Chalk Dust,Etag UK,PL,PINV,22040027,225624,PO003472,1,EA
M231,Black Chalk Dust,Etag UK,PL,PINV,22040048,22570,PO003472,2,EA
M231,Sympafix SB-Plus Dome Screw T-30 6mmx28mm (10,Etag UK,PL,PINV,22040051,225685,PO003371,100,BOX
M231,M,ADA Fast Fix,PL,PCRN,22040173,16098,,0,
M231,Makita Blade 305mm x 25.4mm B-097654,Etag UK,PL,PINV,22040153,226478,PO003535,2,EA
M231,Makita Hoover VC3011,Etag UK,PL,PINV,22040199,226708,PO003382,1,EA
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22040252,226947,PO003578,10,BOX
M231,Nails Sympafix 17mm GT4C nails,Etag UK,PL,PINV,22040252,226947,PO003578,10,BOX
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22040252,226947,PO003578,5,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22040252,226947,PO003578,10,BOX
M231,Multitool blades 64mm,Etag UK,PL,PINV,22040252,226947,PO003578,30,EA
M231,Tape Aluminium Foil 100mm,Etag UK,PL,PINV,22040252,226947,PO003578,50,EA
M231,Hoover bags for Makita VC3511L,Etag UK,PL,PINV,22040252,226947,PO003578,5,PK
M231,Sandpaper P120 for Pole Head (25 per pack),Etag UK,PL,PINV,22040252,226947,PO003578,20,PK
M231,Drill Bit SDS Plus 6X160,Etag UK,PL,PINV,22040325,227453,PO003609,50,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22040325,227453,PO003609,500,EA
M231,Drill Bit SDS Plus 6x110,Etag UK,PL,PINV,22040325,227453,PO003609,50,EA
M231,EJOT DDS200 Insulation Anchor (White)(100),VJ Technology Limited,PL,PINV,22040350,INV3167719,PO003610,50,BOX
M231,M,VJ Technology Limited,PL,PINN,22040383,INV3168266,,0,
m231,,VJ Technology Limited,PL,PCRN,22050175,Rtn1055529,,0,
m231,Sympafix pin C70-16-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22050012,227803,PO003640,12,BOX
M231,Holesaw Arbor 32mm-210mm,Etag UK,PL,PINV,22050013,227793,PO003629,10,EA
M231,Holesaw 32mm,Etag UK,PL,PINV,22050013,227793,PO003629,29,EA
m231,Sympafix pin C70-65 for GT/C70 and GT4C (700,Penlaw Fixings Ltd,PL,PINV,22050001,PF/I038310,PO003639,10,BOX
M231,Holesaw 32mm,Etag UK,PL,PINV,22050091,228057,PO003629,1,EA
m231,Sympafix pin C70-65-HD for GT/C70 and GT4C (7,Etag UK,PL,PINV,22050067,228446,PO003688,5,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22050067,228446,PO003688,5,BOX
M231,Multitool blades 64mm,Etag UK,PL,PINV,22050067,228446,PO003688,50,EA
M231,Sausage Combi Gun 600mm,Etag UK,PL,PINV,22050067,228446,PO003688,3,EA
M231,"Telescopic Stud Rail 24"" (Caddy Grounds)",Etag UK,PL,PINV,22050023,228539,PO003652,1500,EA
M231,Sympafix Nail GUN GT/C70,Etag UK,PL,PINV,22050126,228829,PO003728,2,EA
m231,Sympafix pin C70-16-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22050240,229347,PO003640,12,BOX
M231,Drill Bit HSS 6mm,Etag UK,PL,PINV,22050242,229349,PO003757,20,EA
M231,Holesaw 32mm,Etag UK,PL,PINV,22050242,229349,PO003757,30,EA
M231,Makita Blade 305mm x 25.4mm B-097654,Etag UK,PL,PINV,22050242,229349,PO003757,2,EA
M231,Multitool blades 64mm,Etag UK,PL,PINV,22050242,229349,PO003757,50,EA
M231,Torx Bit T30 Stanley,Etag UK,PL,PINV,22050245,229356,PO003775,5,EA
M231,Insulation anchor washer 70mm diameter with 8,Etag UK,PL,PINV,22050313,229609,PO003813,10,BOX
M231,Drill Bit SDS 6 x 260mm,Etag UK,PL,PINV,22050314,229608,PO003811,30,EA
M231,Insulation anchor 8x110mm (100 bx),Etag UK,PL,PINV,22050311,229787,PO003818,15,BOX
M231,Sympafix 6/65 dome head concrete screws (100,Etag UK,PL,PINV,22050306,229954,PO003835,10,BOX
M231,Sympafix Gas C45/GT3C,Etag UK,PL,PINV,22050306,229954,PO003835,20,EA
m231,Sympafix pin C70-25 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22050320,230225,PO003855,5,BOX
m231,Sympafix pin C70-65 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22050320,230225,PO003855,5,BOX
m231,Sympafix pin C70-27-XP for GT/C70 and GT4C (7,Etag UK,PL,PINV,22050320,230225,PO003855,5,BOX
m231,Sympafix pin C70-20 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22050320,230225,PO003855,5,BOX
M231,Ceiling Anchor 6 x 40 DBZ (200),Etag UK,PL,PINV,22050320,230225,PO003855,20,BOX
m231,Sympafix pin C70-60 for GT/C70 and GT4C (700,Etag UK,PL,PINV,22050320,230225,PO003855,5,BOX
